user_slug,username,school
BhavyaChauhan0520,BhavyaChauhan0520,
laughing-archimedesbsi,,
xiao-72,,
JeysriSiva,JeysriSiva,
Georgegg5,Georgegg5,
chirag713,chirag713,Veer Surendra Sai University of Technology
ViswaSourav,ViswaSourav,
hanbro0112,hanbro0112,
vivek_sharma_007,vivek_sharma_007,MNNIT
snail_code_857,snail_code_857,
Aadersh1,Aadersh1,NIT Allahabad
Galti_Sae_Mistake,Galti_Sae_Mistake,
Slimshady45,Slimshady45,
The_2nd_Derivative,The_2nd_Derivative,
k4gyXRA5Es,,
alisher_prime,alisher_prime,
UnMars,UnMars,
Anshzuzu,Anshzuzu,
AyazDeraiya,AyazDeraiya,
user4814u,user4814u,
LTKJ,LTKJ,
mdnihal05,mdnihal05,
leoyu0813,leoyu0813,
sallyyao2001,sallyyao2001,
apoorvtandon,apoorvtandon,
kxVusmxPqB,kxVusmxPqB,
modimeet20,modimeet20,
TheMadMax,TheMadMax,RT Mosa High School
Nwmin_,Nwmin_,
santhoshsparky123,santhoshsparky123,
tusharvarathe,tusharvarathe,
billo_Rani,billo_Rani,
sohelshk7,sohelshk7,
lynh107,lynh107,
pensive-i2osalindjjz,,
Pandey_Ritesh,Pandey_Ritesh,Madan Mohan Malvia University of technology
Prahasith,Prahasith,"Indiana Institute of Technology , Bombay"
lokeshwar777,lokeshwar777,
jason7708,jason7708,National Chiao Tung University
Dash10107,Dash10107,Sardar Patel Institute Of Technology
kommanaboyinasowjanya,kommanaboyinasowjanya,
zhe_zhong,,
Sujalsinghnegi1,Sujalsinghnegi1,
salonigupta1__,salonigupta1__,
Lelouch_Britannia,Lelouch_Britannia,
SONIT_RAJ,SONIT_RAJ,
rrrrayyyy,rrrrayyyy,
Aki_chan,Aki_chan,
allw,allw,
sat_this_h,sat_this_h,
priyanshusingh6386,priyanshusingh6386,Indian institute of information technology Ranchi
upbeat-hugleuks,,
ZAChisworking,ZAChisworking,
Krishan-kant-sharma,Krishan-kant-sharma,G L Bajaj Group of Institutions
shiyuqi129,shiyuqi129,
DZW063,DZW063,
debanjan96,debanjan96,"Indian Institute of Technology, Kanpur"
Om1705,Om1705,
S2703Garg,S2703Garg,
bhandariaditya2004,bhandariaditya2004,
uday_5464,uday_5464,
Shanmukh-123djsad7576,Shanmukh-123djsad7576,
aman_patel04,aman_patel04,
miles-ts,,
djzzwx,,
gunjun_1,gunjun_1,
1nonlyAyush,1nonlyAyush,
GoodGame123,GoodGame123,
Ashutosh_1030,Ashutosh_1030,BMSIT&M
shashwat1511,shashwat1511,
hungry-heyrovskyb7t,,
yumkam,yumkam,
Vivek1215,Vivek1215,
K0f9Pzn6j5,K0f9Pzn6j5,
S_Diyanesh,S_Diyanesh,
LEGEND_199,LEGEND_199,
code_plus_plus,code_plus_plus,MMMUT gorakhpur up
_safalkumar_,_safalkumar_,
deepak041,deepak041,
tender-darwini3b,,
shiveshc,shiveshc,
CodeStar2612,CodeStar2612,
admiring-shockleyzns,,
bagririshav01,bagririshav01,
PLA_yer,PLA_yer,
user3455kf,user3455kf,
code_tal,code_tal,
RobertIrimias,RobertIrimias,
WilliamJamesMoriarty,WilliamJamesMoriarty,
MasterMuskan22,MasterMuskan22,"Vellore Institute of Technology, Vellore"
cranky-clarkegx7,,
adityasingh99,adityasingh99,
omkar_auti,omkar_auti,
Abinashkalita,Abinashkalita,
Montu07,Montu07,
ShivangBarnwal,ShivangBarnwal,
wddd,wddd,
simaranmaurya007,simaranmaurya007,
_zhiwei,_zhiwei,Wild Chicken University
Shikhar0105,Shikhar0105,Bangalore Institute of Technology
NgoQuangTrung90,NgoQuangTrung90,
sumana_gudivada,sumana_gudivada,B.V.RAJU INSTITUTE OF TECHNOLOGY
Gokul_Kishore,Gokul_Kishore,Chennai institute of technology
m200intervention,m200intervention,
ashigup,ashigup,IIT (ISM) Dhanbad
csmjaor,csmjaor,
aniuan,,
SkinnySnakeLimb,SkinnySnakeLimb,
jeet_choudhary_10,jeet_choudhary_10,
sdjjk,,
saral11,saral11,IIT Indore
liveG,liveG,
Dalle22438,Dalle22438,
ZDIahpRcFh,ZDIahpRcFh,
karnudu,karnudu,
tender-jonesn4h,,
nitirrk,nitirrk,Scaler School of Technology
Swammick12,Swammick12,
Krishna_Gupta1,Krishna_Gupta1,
sad-hodgkin23h,,
naveensaini-ddun,naveensaini-ddun,Indian Institute of Technology Madras
iGjAteYbUz,iGjAteYbUz,
merickbao-4,merickbao-4,
naman_12345__,naman_12345__,DAIICT
hemawariyal99,hemawariyal99,
guai-bai-bai,,
i_ansh,i_ansh,
merickbao-3,,
venkatesh_bonu18,venkatesh_bonu18,
thom_dork,thom_dork,
rahul_karru,rahul_karru,
RAJA41,RAJA41,Indian Institute of Technology - indore
PacificAgni,PacificAgni,Indiana Institute of Technology
coder9010,coder9010,
LB07CeiRM2,LB07CeiRM2,
Harsh230325,Harsh230325,
bhardwajpulkit910,bhardwajpulkit910,"IIEST, Shibpur"
neelavpaul__2006,neelavpaul__2006,
Duryo,Duryo,
sks7401,sks7401,
bairava02,bairava02,
wenboz,wenboz,
user7634rI,user7634rI,
alanchen_x,alanchen_x,
puspendra_09,puspendra_09,IIEST Shibpur
destiny-god,,
pravin014,pravin014,
CR7barick,CR7barick,NIT TIRUCHIRAPPALI
aaaron08813,aaaron08813,
shuvo151dey,shuvo151dey,Indian Institute of Technology Kharagpur
WORTH_IT,WORTH_IT,
silent_hunter,silent_hunter,
AdityaRaj_cpp,AdityaRaj_cpp,
180105,,
kyratzakos,kyratzakos,University of Essex
rajdeeep_231305,rajdeeep_231305,IET LUCKNOW
FacToriaL_3,FacToriaL_3,
likith001sunki,likith001sunki,
luvris,luvris,
kynowoo,kynowoo,
Mastermind-sap,Mastermind-sap,
skag,skag,
Manimegalai2005,Manimegalai2005,
_2002,_2002,
saichaitanyakumar2003,saichaitanyakumar2003,
Biraj00007,Biraj00007,Jalpaiguri government engineerin college 
